ItemNo,Bottles per Case,LocationCode,Supply_Total,Supply_Reserved,Supply_Reserved_Sale,Supply_Avail,Supply_Alloc,Supply_AllocReserved,Supply_AllocReserved_Sale,Supply_AllocAvail,Supply_Open,Supply_OpenReserved,Supply_OpenReserved_Sale,Supply_OpenAvail,Stock_Total,Stock_Reserved,Stock_Reserved_Sale,Stock_Avail,Stock_Alloc,Stock_AllocReserved,Stock_AllocReserved_Sale,Stock_AllocAvail,Stock_Open,Stock_OpenReserved,Stock_OpenReserved_Sale,Stock_OpenAvail,Stock_TOout_Unshipped_Avail,Stock_TOout_Unshipped_AllocAvail,Stock_TOout_Unshipped_OpenAvail,IT_Total,IT_Reserved,IT_Reserved_Sale,IT_Avail,IT_Alloc,IT_AllocReserved,IT_AllocReserved_Sale,IT_AllocAvail,IT_Open,IT_OpenReserved,IT_OpenReserved_Sale,IT_OpenAvail,IT_TOin_Unshipped_Total,IT_TOin_Unshipped_Reserved,IT_TOin_Unshipped_Avail,IT_TOin_Unshipped_Alloc,IT_TOin_Unshipped_AllocReserved,IT_TOin_Unshipped_AllocAvail,IT_TOin_Unshipped_Open,IT_TOin_Unshipped_OpenReserved,IT_TOin_Unshipped_OpenAvail,PO_Total,PO_Reserved,PO_Reserved_Sale,PO_Avail,PO_Alloc,PO_AllocReserved,PO_AllocReserved_Sale,PO_AllocAvail,PO_Open,PO_OpenReserved,PO_OpenReserved_Sale,PO_OpenAvail,BlanketPO_Qty,SO_Total,SO_Reserved,PO_Ret_Total,PO_Ret_Reserved,SO_NoSupply
10031C-17,HANOVER,24.0,0.041666,0.0,0.0,0.041666,0.0,0.0,0.0,0.0,0.041666,0.0,0.0,0.041666,0.041666,0.0,0.0,0.041666,0.0,0.0,0.0,0.0,0.041666,0.0,0.0,0.041666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10031C-17,MIAMI,24.0,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10031C-18,MIAMI,24.0,1.75,0.0,0.0,1.75,0.0,0.0,0.0,0.0,1.75,0.0,0.0,1.75,1.75,0.0,0.0,1.75,0.0,0.0,0.0,0.0,1.75,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034-17,HANOVER,12.0,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.166666,0.0,0.0,0.166666,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034C-05,HANOVER,24.0,5.708333,0.0,0.0,5.708333,0.0,0.0,0.0,0.0,5.708333,0.0,0.0,5.708333,5.708333,0.0,0.0,5.708333,0.0,0.0,0.0,0.0,5.708333,0.0,0.0,5.708333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034C-17,MIAMI,24.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034C-17S,MIAMI,24.0,0.041666,0.0,0.0,0.041666,0.0,0.0,0.0,0.0,0.041666,0.0,0.0,0.041666,0.041666,0.0,0.0,0.041666,0.0,0.0,0.0,0.0,0.041666,0.0,0.0,0.041666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034C-18,MIAMI,24.0,5.958333,0.0,0.0,5.958333,0.0,0.0,0.0,0.0,5.958333,0.0,0.0,5.958333,5.958333,0.0,0.0,5.958333,0.0,0.0,0.0,0.0,5.958333,0.0,0.0,5.958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038-16,MIAMI,12.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038-16LS,HANOVER,12.0,0.583333,0.0,0.0,0.583333,0.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.583333,0.583333,0.0,0.0,0.583333,0.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038-19,MIAMI,12.0,34.416666,0.0,0.0,34.416666,0.0,0.0,0.0,0.0,34.416666,0.0,0.0,34.416666,34.416666,0.0,0.0,34.416666,0.0,0.0,0.0,0.0,34.416666,0.0,0.0,34.416666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004-19RLS,HANOVER,12.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004-20R,NY,12.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005-22R,NY,12.0,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.166666,0.0,0.0,0.166666,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005-23R,GORDON,12.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,112.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005-23R,HANOVER,12.0,55.916666,0.0,0.0,55.916666,0.0,0.0,0.0,0.0,55.916666,0.0,0.0,55.916666,55.916666,0.0,0.0,55.916666,0.0,0.0,0.0,0.0,55.916666,0.0,0.0,55.916666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10053-04,HANOVER,12.0,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006-18R,HANOVER,12.0,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.166666,0.0,0.0,0.166666,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.166666,0.0,0.0,0.166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006-19RLS,MIAMI,12.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006-20R,MIAMI,12.0,3.666666,0.0,0.0,3.666666,0.0,0.0,0.0,0.0,3.666666,0.0,0.0,3.666666,3.666666,0.0,0.0,3.666666,0.0,0.0,0.0,0.0,3.666666,0.0,0.0,3.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
